treatment	grant_year
3908843	1975
3908900	1975
3908910	1975
3908935	1975
3908945	1975
3908948	1975
3908998	1975
3909021	1975
3909038	1975
3909040	1975
3909065	1975
3909069	1975
3909075	1975
3909077	1975
3909092	1975
3909096	1975
3909143	1975
3909298	1975
3909310	1975
3909324	1975
3909345	1975
3909373	1975
3909406	1975
3909424	1975
3909434	1975
3909477	1975
3909505	1975
3909657	1975
3909779	1975
3909885	1975
3909896	1975
3909901	1975
3909904	1975
3909927	1975
3909955	1975
3909990	1975
3909993	1975
3910014	1975
3910041	1975
3910076	1975
3910091	1975
3910107	1975
3910114	1975
3910129	1975
3910131	1975
3910159	1975
3910183	1975
3910220	1975
3910233	1975
3910243	1975
3910295	1975
3910302	1975
3910314	1975
3910330	1975
3910342	1975
3910369	1975
3910391	1975
3910420	1975
3910440	1975
3910464	1975
3910524	1975
3910564	1975
3910572	1975
3910596	1975
3910627	1975
3910628	1975
3910734	1975
3910928	1975
3910943	1975
3910944	1975
3910946	1975
3910999	1975
3911061	1975
3911062	1975
3911124	1975
3911236	1975
3911291	1975
3911302	1975
3911386	1975
3911485	1975
3911529	1975
3911566	1975
3911624	1975
3911662	1975
3911675	1975
3911706	1975
3911721	1975
3911760	1975
3911761	1975
3911769	1975
3911777	1975
3911802	1975
3911810	1975
3911831	1975
3911843	1975
3911855	1975
3911873	1975
3911880	1975
3911882	1975
3911896	1975
3911942	1975
3912036	1975
3912040	1975
3912048	1975
3912070	1975
3912073	1975
3912117	1975
3912162	1975
3912207	1975
3912212	1975
3912239	1975
3912249	1975
3912281	1975
3912283	1975
3912288	1975
3912289	1975
3912306	1975
3912313	1975
3912329	1975
3912350	1975
3912352	1975
3912439	1975
3912440	1975
3912534	1975
3912576	1975
3912647	1975
3912651	1975
3912652	1975
3912660	1975
3912753	1975
3912758	1975
3912789	1975
3912799	1975
3912939	1975
3912954	1975
3913137	1975
3913172	1975
3913196	1975
3913198	1975
3913266	1975
3913272	1975
3913288	1975
3913316	1975
3913366	1975
3913370	1975
3913373	1975
3913461	1975
3913498	1975
3913511	1975
3913526	1975
3913535	1975
3913544	1975
3913545	1975
3913577	1975
3913587	1975
3913598	1975
3913696	1975
3913703	1975
3913706	1975
3913713	1975
3913765	1975
3913767	1975
3913812	1975
3913861	1975
3913862	1975
3913871	1975
3913893	1975
3913924	1975
3913926	1975
3913932	1975
3913933	1975
3913939	1975
3913941	1975
3913971	1975
3913978	1975
3913984	1975
3913998	1975
3914028	1975
3914061	1975
3914063	1975
3914102	1975
3914176	1975
3914180	1975
3914194	1975
3914199	1975
3914245	1975
3914282	1975
3914316	1975
3914333	1975
3914360	1975
3914473	1975
3914619	1975
3914678	1975
3914796	1975
3914840	1975
3914849	1975
3914908	1975
3914909	1975
3914937	1975
3914970	1975
3914990	1975
3915022	1975
3915032	1975
3915035	1975
3915040	1975
3915052	1975
3915053	1975
3915077	1975
3915128	1975
3915132	1975
3915135	1975
3915147	1975
3915181	1975
3915195	1975
3915197	1975
3915237	1975
3915255	1975
3915284	1975
3915287	1975
3915348	1975
3915385	1975
3915493	1975
3915502	1975
