patent_id	inventor_id
3878140	3878140-1
3878165	3862085-1
3878227	3878227-1
3878227	3878227-2
3878234	3878234-1
3878234	3878234-2
3878263	3878263-1
3878295	3878295-1
3878364	3878364-1
3878364	3878364-2
3878394	3878394-1
3878422	3878422-1
3878422	3878422-2
3878437	3878437-1
3878446	3873901-1
3878578	3878578-1
3878592	3878592-1
3878592	3878592-2
3878598	3878598-1
3878599	3878598-1
3878599	3878599-2
3878613	3878613-1
3878643	3878643-1
3878643	3878643-2
3878676	3878676-1
3878678	3878678-1
3878678	3878678-2
3878678	3858391-1
3878679	3878679-1
3878706	3878706-1
3878706	3878706-2
3878707	3878707-1
3878773	3862565-1
3878820	3878820-1
3878820	3878820-2
3878823	3878823-1
3878825	3861361-1
3878856	3878856-1
3878887	3878887-1
3878913	3878913-1
3878913	3878913-2
3878913	3878913-3
3878921	3878921-1
3878921	3878921-2
3878950	3878950-1
3878950	3878950-2
3878958	3878958-1
3879023	3879023-1
3879023	3879023-2
3879072	3879072-1
3879075	3879075-1
3879082	3879082-1
3879086	3879086-1
3879096	3874729-1
3879109	3879109-1
3879216	3879216-1
3879229	3879229-1
3879254	3874983-1
3879289	3879289-1
3879289	3879289-2
3879294	3879294-1
3879294	3879294-2
3879294	3879294-3
3879328	3867360-1
3879333	3879333-1
3879353	3879353-1
3879359	3879359-1
3879359	3879359-2
3879365	3879365-1
3879365	3879365-2
3879389	3879389-1
3879389	3879389-2
3879393	3862946-1
3879395	3879395-1
3879400	3862232-1
3879413	3862956-1
3879423	3873570-1
3879437	3879437-1
3879439	3879437-1
3879454	3879454-1
3879454	3879454-2
3879471	3879471-1
3879491	3865897-3
3879491	3865897-2
3879542	3870505-1
3879543	3870505-1
3879543	3879543-2
3879586	3879586-1
3879586	3879586-2
3879596	3879596-1
3879600	3879600-1
3879628	3879628-1
3879641	3879641-1
3879674	3879674-1
3879700	3879700-1
3879700	3879700-2
3879700	3879700-3
3879718	3879718-1
3879723	3879723-1
3879873	3879873-1
3879903	3869833-1
3879909	3865928-2
3879909	3879909-2
3879944	3879944-1
3879947	3879947-1
3879995	3879995-1
3880000	3880000-1
3880076	3880076-1
3880076	3880076-2
3880086	3880086-1
3880121	3880121-1
3880126	3880126-1
3880126	3880126-2
3880127	3880127-1
3880128	3880128-1
3880194	3880194-1
3880276	3880276-1
3880289	3880289-1
3880298	3880298-1
3880298	3880298-2
3880299	3866767-2
3880299	3880299-2
3880299	3880299-3
3880317	3880317-1
3880333	3880333-1
3880334	3880334-1
3880337	3880337-1
3880337	3880337-2
3880337	3860125-1
3880360	3880360-1
3880360	3880360-2
3880379	3880379-1
3880381	3869097-2
3880398	3880398-1
3880414	3880414-1
3880414	3880414-2
3880426	3880426-1
3880445	3880445-1
3880450	3880450-1
3880457	3880457-1
3880464	3880464-1
3880464	3880464-2
3880464	3880464-3
3880467	3880467-1
3880473	3869177-2
3880473	3869177-1
3880473	3869177-3
3880481	3880481-1
3880489	3880489-1
3880555	3880555-1
3880645	3880645-1
3880645	3880645-2
3880743	3880743-1
3880775	3880775-1
3880775	3880775-2
3880775	3880775-3
3880800	3862085-1
3880801	3862085-1
3880827	3880827-1
3880827	3880827-2
3880878	3862956-1
3880887	3880887-1
3880912	3862984-1
3880912	3862984-2
3880946	3873493-2
3880946	3880946-2
3880947	3873493-2
3880947	3880946-2
3880948	3880948-1
3880962	3880962-1
3880962	3880962-2
3880963	3880962-1
3880963	3880962-2
3880977	3880977-1
3880977	3880977-2
3881048	3881048-1
3881051	3881051-1
3881058	3881058-1
3881076	3881076-1
3881076	3881076-2
3881084	3881084-1
3881112	3879718-1
3881174	3881174-1
3881207	3880457-1
3881207	3866974-1
3881220	3881220-1
3881221	3881221-1
3881292	3881292-1
3881294	3881287-1
3881295	3881295-1
3881304	3881304-1
3881330	3881330-1
3881351	3859650-1
3881365	3881365-1
3881366	3881366-1
3881366	3881366-2
3881399	3881399-1
3881399	3881399-2
3881403	3881403-1
3881403	3881403-2
3881403	3881403-3
3881453	3881453-1
3881453	3881453-2
3881457	3881457-1
3881457	3881457-2
3881657	3881657-1
3881680	3881680-1
3881730	3866592-1
3881733	3881733-1
3881749	3881749-1
3881767	3881767-1
3881786	3881786-1
3881786	3881786-2
3881790	3881790-1
3881802	3881802-1
3881839	3881839-1
3881894	3881894-1
3881958	3881958-1
3881958	3877990-2
3881982	3881982-1
3881982	3881982-2
3882003	3882003-1
3882004	3882003-1
3882050	3882050-1
3882078	3882078-1
3882112	3862956-2
3882118	3879389-2
3882118	3882118-2
3882139	3882139-1
3882139	3862956-1
3882170	3882170-1
3882170	3882170-2
3882240	3882240-1
3882241	3882241-1
3882245	3882245-1
3882341	3882341-1
3882371	3882371-1
3882371	3882371-2
3882387	3882387-1
3882442	3882442-1
3882569	3882569-1
3882570	3871306-1
3882570	3882570-2
3882570	3882570-3
3882600	3882600-1
3882604	3882604-1
3882608	3882604-1
3882621	3882621-1
3882622	3882622-1
3882653	3882653-1
3882679	3882679-1
3882721	3882721-1
3882721	3882721-2
3882737	3882737-1
3882737	3882737-2
3882761	3882761-1
3882766	3882766-1
3882771	3882771-1
3882795	3862789-1
3882799	3882799-1
3882799	3882799-2
3882876	3882876-1
3882897	3882897-1
3882897	3882897-2
3882970	3860036-1
3882991	3882991-1
3882991	3882991-2
3882992	3882992-1
3882992	3882992-2
3882997	3882997-1
3882998	3882998-1
3883000	3883000-1
3883030	3883030-1
3883030	3883030-2
3883049	3883049-1
3883049	3883049-2
3883147	3883147-1
3883147	3883147-2
3883192	3862785-4
3883196	3883196-1
3883196	3862789-2
3883196	3883196-3
3883196	3862785-3
3883196	3862785-1
3883251	3881802-1
3883258	3883258-1
3883479	3862085-1
3883479	3876612-1
3883501	3883501-1
3883501	3867298-1
3883544	3862956-1
3883544	3882139-1
3883574	3879437-1
3883575	3879437-1
3883576	3879437-1
3883581	3876509-4
3883581	3883581-2
3883581	3875293-1
3883581	3875203-2
3883581	3883581-5
3883602	3883602-1
3883622	3883622-1
3883625	3883625-1
3883625	3883625-2
3883628	3878263-1
3883644	3883644-1
3883644	3883644-2
3883646	3883646-1
3883701	3883701-1
3883753	3860875-1
3883753	3883753-2
3883756	3879674-1
3883760	3883760-1
3883776	3881051-1
3883804	3883804-1
3883843	3883843-1
3883843	3876031-1
3883903	3883903-1
3883903	3883903-2
3883915	3878598-1
3883924	3883924-1
3883944	3883944-1
3883944	3883944-2
3883944	3883944-3
3883944	3883944-4
3883961	3883961-1
3883972	3883972-1
3883972	3883972-2
3883972	3883972-3
3883981	3883981-1
3884002	3884002-1
3884055	3884055-1
3884063	3872701-1
3884116	3884116-1
3884121	3884121-1
3884161	3884161-1
3884163	3884161-1
3884179	3884179-1
3884186	3884186-1
3884255	3884255-1
3884308	3884308-1
3884328	3869530-1
3884363	3884363-1
3884368	3861520-1
3884376	3884376-1
3884383	3884383-1
3884383	3884383-2
3884395	3884395-1
3884447	3884447-1
3884447	3884447-2
3884450	3884450-1
3884454	3884454-1
3884483	3884483-1
3884483	3884483-2
3884484	3884484-1
3884493	3884493-1
3884493	3863467-2
3884493	3884493-3
3884579	3884579-1
3884590	3884590-1
3884590	3884590-2
3884602	3884602-1
3884604	3884604-1
3884606	3884606-1
3884789	3884789-1
3884839	3884839-1
3884839	3884839-2
3884852	3878140-1
3884860	3884860-1
3884875	3884875-1
3884875	3884875-2
3884886	3862079-1
3884934	3880645-2
3884934	3867545-1
3884934	3884934-3
3884934	3884934-4
3884982	3883602-1
3885004	3885004-1
3885036	3885036-1
3885090	3885090-1
