number	inventor_id	assignee_id	date
4449692	3993125-1	bd7698208472466cb1537aa756590e09	1984-05-22
4449692	3993125-1	bd7698208472466cb1537aa756590e09	1984-05-22
4449751	3880464-1	7ec0d9623259e58ebfe3e8eef135544a	1984-05-22
4449751	4205879-1	7ec0d9623259e58ebfe3e8eef135544a	1984-05-22
4449751	3880464-1	7ec0d9623259e58ebfe3e8eef135544a	1984-05-22
4449751	4205879-1	7ec0d9623259e58ebfe3e8eef135544a	1984-05-22
4449756	4425008-1	749866c0fc8737b1522ce77f3ed091f5	1984-05-22
4449756	4425008-1	749866c0fc8737b1522ce77f3ed091f5	1984-05-22
4449765	4119116-1	9cc20cbebd1093b6e909909128ea9cea	1984-05-22
4449765	4119116-1	9cc20cbebd1093b6e909909128ea9cea	1984-05-22
4449872	4045987-1	7ec0d9623259e58ebfe3e8eef135544a	1984-05-22
4449872	4045987-1	7ec0d9623259e58ebfe3e8eef135544a	1984-05-22
4449880	4449880-1	c027d4d0299e1248933ff9f78a12bf6b	1984-05-22
4449880	4449880-1	c027d4d0299e1248933ff9f78a12bf6b	1984-05-22
4449898	3902318-2	c83c15d2f6847e3a9c2a3d43c0959b53	1984-05-22
4449898	3902318-2	c83c15d2f6847e3a9c2a3d43c0959b53	1984-05-22
4450001	4382013-2	db43dc456ce5c6a79ebd04ecc13efea3	1984-05-22
4450001	3931029-1	db43dc456ce5c6a79ebd04ecc13efea3	1984-05-22
4450001	4244832-1	db43dc456ce5c6a79ebd04ecc13efea3	1984-05-22
4450001	4382013-2	db43dc456ce5c6a79ebd04ecc13efea3	1984-05-22
4450001	3931029-1	db43dc456ce5c6a79ebd04ecc13efea3	1984-05-22
4450001	4244832-1	db43dc456ce5c6a79ebd04ecc13efea3	1984-05-22
4450047	4450047-1	c15e7bf30f228633e71fa91ba478b76a	1984-05-22
4450047	4450047-1	c15e7bf30f228633e71fa91ba478b76a	1984-05-22
4450051	3915811-1	f5b1218cdbcd329e4c45c84e7b96d935	1984-05-22
4450051	3915811-1	f5b1218cdbcd329e4c45c84e7b96d935	1984-05-22
4450088	4209415-3	db43dc456ce5c6a79ebd04ecc13efea3	1984-05-22
4450088	3971706-1	db43dc456ce5c6a79ebd04ecc13efea3	1984-05-22
4450088	4209415-3	db43dc456ce5c6a79ebd04ecc13efea3	1984-05-22
4450088	3971706-1	db43dc456ce5c6a79ebd04ecc13efea3	1984-05-22
4450091	3867533-1	db43dc456ce5c6a79ebd04ecc13efea3	1984-05-22
4450091	3867533-1	db43dc456ce5c6a79ebd04ecc13efea3	1984-05-22
4450127	4298563-1	5ed263d7555a8b1d8a87ede8de0d1f64	1984-05-22
4450127	3876352-1	5ed263d7555a8b1d8a87ede8de0d1f64	1984-05-22
4450127	4298563-1	5ed263d7555a8b1d8a87ede8de0d1f64	1984-05-22
4450127	3876352-1	5ed263d7555a8b1d8a87ede8de0d1f64	1984-05-22
4450159	4254142-1	c817a9a93a8e4237ea3a6992adb7f02f	1984-05-22
4450159	4254142-2	c817a9a93a8e4237ea3a6992adb7f02f	1984-05-22
4450159	4254142-1	c817a9a93a8e4237ea3a6992adb7f02f	1984-05-22
4450159	4254142-2	c817a9a93a8e4237ea3a6992adb7f02f	1984-05-22
4450191	3940320-3	f5b1218cdbcd329e4c45c84e7b96d935	1984-05-22
4450191	3940320-3	f5b1218cdbcd329e4c45c84e7b96d935	1984-05-22
4450255	4035355-2	c8b08ef1d064f9d5b743cdf01e585cac	1984-05-22
4450255	4035355-2	c8b08ef1d064f9d5b743cdf01e585cac	1984-05-22
4450280	3927004-1	68f31ecdaa3b3827bbd64e60cd21d9da	1984-05-22
4450280	4007148-2	68f31ecdaa3b3827bbd64e60cd21d9da	1984-05-22
4450280	3927004-1	68f31ecdaa3b3827bbd64e60cd21d9da	1984-05-22
4450280	4007148-2	68f31ecdaa3b3827bbd64e60cd21d9da	1984-05-22
4450283	4394317-2	7d920e1bd1c7fb65d0edc3a9fc188544	1984-05-22
4450283	4171267-1	7d920e1bd1c7fb65d0edc3a9fc188544	1984-05-22
4450283	4394317-3	7d920e1bd1c7fb65d0edc3a9fc188544	1984-05-22
4450283	4394317-2	7d920e1bd1c7fb65d0edc3a9fc188544	1984-05-22
4450283	4171267-1	7d920e1bd1c7fb65d0edc3a9fc188544	1984-05-22
4450283	4394317-3	7d920e1bd1c7fb65d0edc3a9fc188544	1984-05-22
4450285	4221895-1	68f31ecdaa3b3827bbd64e60cd21d9da	1984-05-22
4450285	4450285-2	68f31ecdaa3b3827bbd64e60cd21d9da	1984-05-22
4450285	4221895-1	68f31ecdaa3b3827bbd64e60cd21d9da	1984-05-22
4450285	4450285-2	68f31ecdaa3b3827bbd64e60cd21d9da	1984-05-22
4450346	3903396-2	bd7698208472466cb1537aa756590e09	1984-05-22
4450346	3903396-2	bd7698208472466cb1537aa756590e09	1984-05-22
4450376	3936794-1	bd7698208472466cb1537aa756590e09	1984-05-22
4450376	3936794-1	bd7698208472466cb1537aa756590e09	1984-05-22
4450382	4450382-1	4bcf1149dab7738d933a859c2fb61d86	1984-05-22
4450382	4450382-2	4bcf1149dab7738d933a859c2fb61d86	1984-05-22
4450382	4450382-3	4bcf1149dab7738d933a859c2fb61d86	1984-05-22
4450382	4450382-1	4bcf1149dab7738d933a859c2fb61d86	1984-05-22
4450382	4450382-2	4bcf1149dab7738d933a859c2fb61d86	1984-05-22
4450382	4450382-3	4bcf1149dab7738d933a859c2fb61d86	1984-05-22
4450614	3871669-1	3fb37ca78a2911929c1ed2de4f2a8b80	1984-05-29
4450614	3871669-1	3fb37ca78a2911929c1ed2de4f2a8b80	1984-05-29
4450639	4007861-2	e6347f3c634bf9324bd30393dbaeb7de	1984-05-29
