citing	cited	citing_year	state	assignee_id
7624890	3861556	2009	MN	8b01ce7a84ecc50e532ef3ff4e31098a
7624890	3861556	2009	MN	8b01ce7a84ecc50e532ef3ff4e31098a
4086394	3861557	1978	CA	81c31b508025b0a1049af0e2205e5b5d
4086394	3861557	1978	CA	81c31b508025b0a1049af0e2205e5b5d
7048140	3861557	2006	OK	6b6c21999496f86b3cc84f6c6f7103e9
5667152	3861602	1997	CA	
3944147	3861602	1976	CA	58fc1b563e591ad5ad6940c52c9af59c
3944147	3861602	1976	CA	58fc1b563e591ad5ad6940c52c9af59c
8307866	3861602	2012	WA	NULL
7780102	3861602	2010	ND	cf6e16615b5a836fb2014872554b531b
4039156	3861614	1977	CA	c9745f2e3485e17f51342b22d124f5a9
4039156	3861614	1977	CA	c9745f2e3485e17f51342b22d124f5a9
5330250	3861742	1994	CA	
5330250	3861742	1994	CA	
6627309	3861950	2003	MN	358d3cb746241ec1105de0542e47fbcd
7258917	3861950	2007	MN	358d3cb746241ec1105de0542e47fbcd
7258917	3861950	2007	MN	358d3cb746241ec1105de0542e47fbcd
6153622	3862232	2000	CT	2458e982109b40327f8f0797b4025ae0
6204286	3862232	2001	CT	2458e982109b40327f8f0797b4025ae0
6441193	3862232	2002	CT	2458e982109b40327f8f0797b4025ae0
RE39558	3862232	2007	CT	2458e982109b40327f8f0797b4025ae0
RE39558	3862232	2007	CT	2458e982109b40327f8f0797b4025ae0
6911456	3862232	2005	CT	2458e982109b40327f8f0797b4025ae0
4142117	3862437	1979	CA	e8b119e51e9b337e3a5992d743065c2d
4142117	3862437	1979	CA	e8b119e51e9b337e3a5992d743065c2d
4421995	3862437	1983	CA	a1aacb85ca4983b090392e59d002fa23
4421995	3862437	1983	CA	a1aacb85ca4983b090392e59d002fa23
