citing	cited	citing_year	state
4288691	3879109	1981	WA
7035012	3879109	2006	CA
4306771	3879109	1981	CA
4345212	3879109	1982	CA
7184216	3879109	2007	CA
6503716	3879216	2003	CA
6617298	3879216	2003	CA
6982241	3879216	2006	MN
4925519	3879254	1990	MN
8163118	3879254	2012	WA
7425265	3879294	2008	CA
7531094	3879294	2009	CA
8021290	3879294	2011	CA
6007833	3879353	1999	MN
6156345	3879353	2000	MN
6410044	3879353	2002	MN
6448301	3879353	2002	MN
6664306	3879353	2003	MN
7094418	3879353	2006	MN
7547445	3879353	2009	MN
6924370	3879353	2005	MN
5506060	3879393	1996	CA
5554769	3879393	1996	WA
5573854	3879393	1996	WA
5587105	3879393	1996	WA
5602226	3879393	1997	CA
5610317	3879393	1997	CA
5618907	3879393	1997	CA
5714566	3879393	1998	CA
5739256	3879393	1998	CA
5756597	3879393	1998	CA
5969079	3879393	1999	CA
8188076	3879393	2012	CA
6521630	3879393	2003	CT
6583255	3879393	2003	CA
8575185	3879393	2013	CA
8431570	3879393	2013	CA
8461154	3879393	2013	CA
4826929	3879491	1989	CA
4065649	3879586	1977	MN
5493082	3879586	1996	CA
4127752	3879586	1978	MN
5990799	3879586	1999	CT
4258096	3879586	1981	MN
4408103	3879586	1983	CA
4515999	3879586	1985	CT
4794474	3879586	1988	CT
4800582	3879586	1989	CT
4817127	3879586	1989	CT
4860339	3879586	1989	CT
4975896	3879586	1990	CT
4018999	3879586	1977	WA
4169219	3879674	1979	CA
4688113	3879674	1987	OK
7760458	3879674	2010	CA
4003086	3879674	1977	CA
7872824	3879674	2011	CA
5398041	3879723	1995	CA
5432526	3879723	1995	CA
4532502	3879723	1985	CA
4063409	3879723	1977	CA
5400458	3879903	1995	MN
5016311	3879903	1991	MN
5083840	3879903	1992	MN
5233719	3879903	1993	MN
5284039	3879903	1994	MN
6994057	3880126	2006	WV
8584629	3880126	2013	CA
4817388	3880126	1989	CA
7383797	3880126	2008	CA
7516723	3880126	2009	CA
7273023	3880126	2007	CA
6899061	3880126	2005	WV
4392461	3880127	1983	MN
4491098	3880127	1985	MN
5636030	3880289	1997	CA
4274783	3880298	1981	CA
3990589	3880299	1976	CA
4157104	3880317	1979	CA
8491653	3880414	2013	CA
7837732	3880414	2010	CA
5055104	3880414	1991	MN
4673212	3880467	1987	CA
5207954	3880946	1993	WV
4544702	3880948	1985	CT
4946631	3880963	1990	CA
5805841	3881174	1998	MN
5805901	3881174	1998	CA
5805902	3881174	1998	CA
6018785	3881174	2000	CA
4024505	3881174	1977	CA
7902442	3881221	2011	CA
6478261	3881221	2002	CA
4780929	3881221	1988	CA
7565720	3881221	2009	CA
5044044	3881221	1991	CA
5062181	3881221	1991	CT
7754950	3881221	2010	CA
7652205	3881221	2010	CA
6105327	3881292	2000	CA
7155868	3881292	2007	CA
6829868	3881294	2004	CA
4526677	3881295	1985	CA
6955638	3881295	2005	CA
5125222	3881304	1992	CA
5179824	3881304	1993	CA
5291722	3881304	1994	MN
4739647	3881351	1988	CA
4653340	3881365	1987	CT
4351225	3881399	1982	WA
5718935	3881403	1998	CA
4419374	3881403	1983	CA
4687895	3881403	1987	CA
4444474	3881749	1984	CA
7503549	3881749	2009	CA
5104241	3881790	1992	CT
5200265	3881790	1993	CT
5223203	3881790	1993	CT
5255985	3881790	1993	CT
5335416	3881790	1994	CT
4154507	3881802	1979	WA
7768686	3881802	2010	CA
4324140	3881802	1982	CA
4544228	3881802	1985	CA
7119972	3881802	2006	CA
8174749	3881802	2012	CA
4859116	3881958	1989	WA
4020036	3882078	1977	OK
4389414	3882241	1983	CA
4378525	3882387	1983	CA
4899103	3882387	1990	CA
4330902	3882570	1982	MN
7534501	3882653	2009	CA
6986204	3882653	2006	WA
8377566	3882653	2013	CA
8438893	3882653	2013	CA
8505258	3882653	2013	CA
6612166	3882721	2003	MN
6941805	3882721	2005	MN
5887717	3883000	1999	MN
6182422	3883000	2001	MN
6499596	3883000	2002	MN
6588594	3883000	2003	MN
6874633	3883000	2005	MN
7392905	3883000	2008	MN
7370761	3883000	2008	MN
5130494	3883196	1992	CT
6141440	3883251	2000	CA
6160909	3883251	2000	CA
