id	year(patent.date)	inventor_id	state
3938373	1976	3859119-1	CO
3938367	1976	3859119-1	CA
3940621	1976	3859119-1	CA
3867677	1975	3859119-1	CA
3943442	1976	3859119-1	CA
3942398	1976	3859119-1	CA
3945879	1976	3859119-1	CA
3945801	1976	3859119-1	CA
3949404	1976	3859119-1	MA
3950729	1976	3859119-1	CA
3952083	1976	3859119-1	CA
3953792	1976	3859119-1	NC
3952976	1976	3859119-1	OH
3952998	1976	3859119-1	CA
3953646	1976	3859119-1	CA
3953674	1976	3859119-1	MD
3955034	1976	3859119-1	CA
3956233	1976	3859119-1	MA
3958188	1976	3859119-1	CA
3957037	1976	3859119-1	CA
3957044	1976	3859119-1	Ontario
3956932	1976	3859119-1	CA
3868830	1975	3859119-1	CT
3868856	1975	3859119-1	OH
3965354	1976	3859119-1	CA
3964902	1976	3859119-1	PA
4849903	1989	3859119-1	District o
3964306	1976	3859119-1	CA
3964319	1976	3859119-1	VA
3869680	1975	3859119-1	CA
3869624	1975	3859119-1	TX
3869210	1975	3859119-1	CA
3869160	1975	3859119-1	MO
3972038	1976	3859119-1	CA
3971940	1976	3859119-1	CA
3971915	1976	3859119-1	TX
3971364	1976	3859119-1	CA
3971363	1976	3859119-1	CA
3971230	1976	3859119-1	CA
3972008	1976	3859119-1	CA
3972651	1976	3859119-1	CA
3978490	1976	3859119-1	CA
3978417	1976	3859119-1	CA
3978410	1976	3859119-1	CA
3978360	1976	3859119-1	CA
3978350	1976	3859119-1	AL
3978287	1976	3859119-1	CA
3977787	1976	3859119-1	CA
3977831	1976	3859119-1	VA
3978187	1976	3859119-1	CA
3977147	1976	3859119-1	CA
3984799	1976	3859119-1	CA
3984686	1976	3859119-1	AL
3984685	1976	3859119-1	AL
3984681	1976	3859119-1	CA
3984671	1976	3859119-1	MI
3984256	1976	3859119-1	AL
3983933	1976	3859119-1	CA
3983749	1976	3859119-1	CA
3983714	1976	3859119-1	CA
3985454	1976	3859119-1	CA
3988716	1976	3859119-1	CA
3988677	1976	3859119-1	CA
3989136	1976	3859119-1	AL
3988933	1976	3859119-1	PA
3990860	1976	3859119-1	CA
3996532	1976	3859119-1	VA
3996471	1976	3859119-1	WI
3996468	1976	3859119-1	CA
3996464	1976	3859119-1	CA
3996462	1976	3859119-1	MD
3996070	1976	3859119-1	CA
3995960	1976	3859119-1	Kungsbacka
3995621	1976	3859119-1	CA
5116939	1992	3859119-1	District o
4003004	1977	3859119-1	AL
4003084	1977	3859119-1	AL
4004292	1977	3859119-1	TX
4003257	1977	3859119-1	TX
4007434	1977	3859119-1	AL
4007430	1977	3859119-1	CA
4008407	1977	3859119-1	CA
4012696	1977	3859119-1	CA
3875584	1975	3859119-1	TX
3875435	1975	3859119-1	CA
3875332	1975	3859119-1	TX
4014745	1977	3859119-1	MD
4018532	1977	3859119-1	CA
4018092	1977	3859119-1	CA
4018080	1977	3859119-1	AL
3874635	1975	3859119-1	CA
4017959	1977	3859119-1	MN
3875500	1975	3859119-1	AL
4025783	1977	3859119-1	CA
4025875	1977	3859119-1	CA
4025891	1977	3859119-1	NULL
4025876	1977	3859119-1	CA
4025866	1977	3859119-1	MD
3875404	1975	3859119-1	CA
4027524	1977	3859119-1	VA
4027494	1977	3859119-1	CA
4028939	1977	3859119-1	CA
4030047	1977	3859119-1	CA
4029500	1977	3859119-1	IN
4030348	1977	3859119-1	CA
4033882	1977	3859119-1	NY
4033504	1977	3859119-1	PA
4033503	1977	3859119-1	CA
4033479	1977	3859119-1	CA
4033334	1977	3859119-1	TX
4035065	1977	3859119-1	CA
4035062	1977	3859119-1	CA
4040041	1977	3859119-1	CA
4039925	1977	3859119-1	CA
4039489	1977	3859119-1	CA
4039347	1977	3859119-1	AL
4039000	1977	3859119-1	CA
4041233	1977	3859119-1	CA
3878464	1975	3859119-1	NY
4043674	1977	3859119-1	CA
4045795	1977	3859119-1	CA
4045728	1977	3859119-1	CA
4045359	1977	3859119-1	CA
4045063	1977	3859119-1	CA
4045315	1977	3859119-1	CA
4044821	1977	3859119-1	CA
4044753	1977	3859119-1	CA
4046617	1977	3859119-1	AL
4046529	1977	3859119-1	CT
4046462	1977	3859119-1	CA
4049930	1977	3859119-1	TX
4052666	1977	3859119-1	MD
4052659	1977	3859119-1	CA
4052614	1977	3859119-1	CA
4052302	1977	3859119-1	CA
4052181	1977	3859119-1	CA
4051877	1977	3859119-1	AZ
4051834	1977	3859119-1	CA
4053231	1977	3859119-1	CA
4053918	1977	3859119-1	CA
4055810	1977	3859119-1	CA
4055147	1977	3859119-1	OR
4055072	1977	3859119-1	VA
4055847	1977	3859119-1	MD
4061974	1977	3859119-1	CA
4061427	1977	3859119-1	CA
